"","x","y"
"705",23,1
"706",308,1
"707",83,1
"708",144,1
"709",233,1
"710",168,1
"711",242,2
"712",145,2
"713",260,2
"714",15,3
"715",319,2
"716",150,2
"717",281,2
"718",189,2
"719",36,2
"720",314,2
"721",336,2
"722",160,2
"723",222,2
"724",128,2
"725",357,2
"726",17,2
"727",291,2
"728",284,2
"729",182,2
"730",60,2
"731",252,2
"732",302,3
"733",157,2
"734",163,2
"735",252,2
"736",45,3
"737",314,3
"738",226,3
"739",173,3
"740",129,3
"741",286,3
"742",55,3
"743",183,3
"744",112,3
"745",263,3
"746",94,3
"747",249,3
"748",164,3
"749",17,2
"750",69,3
"751",275,3
"752",249,4
"753",287,4
"754",96,4
"755",297,4
"756",332,4
"757",171,4
"758",259,4
"759",311,4
"760",324,4
"761",119,4
"762",253,4
"763",251,4
"764",235,1
"765",55,1
"766",363,1
"767",39,1
"768",140,1
"769",46,1
"770",27,1
"771",215,1
"772",303,1
"773",114,1
"774",322,1
"775",143,1
"776",46,1
"777",146,1
"778",151,1
"779",185,1
"780",278,1
"781",26,1
"782",178,1
"783",91,1
"784",150,1
"785",98,1
"786",236,2
"787",225,2
"788",37,2
"789",331,2
"790",89,2
"791",153,2
"792",286,2
"793",4,2
"794",353,2
"795",209,2
"796",292,2
"797",158,2
"798",304,2
"799",122,2
"800",161,2
"801",292,2
"802",201,2
"803",344,2
"804",209,2
"805",200,2
"806",0,2
"807",280,3
"808",83,3
"809",286,3
"810",306,3
"811",321,3
"812",246,3
"813",148,3
"814",353,3
"815",344,3
"816",155,3
"817",16,3
"818",131,3
"819",286,3
"820",268,3
"821",95,3
"822",138,3
"823",62,3
"824",56,3
"825",25,4
"826",105,4
"827",288,4
"828",293,4
"829",104,4
"830",200,4
"831",177,4
"832",28,4
"833",216,4
"834",56,4
"835",178,4
"836",101,4
"837",221,4
"838",333,4
"839",268,1
"840",67,2
"841",39,1
"842",172,1
"843",312,1
"844",241,1
"845",168,1
"846",255,1
"847",209,1
"848",75,1
"849",157,2
"850",112,1
"851",128,1
"852",352,1
"853",360,1
"854",46,1
"855",62,1
"856",302,1
"857",77,1
"858",66,1
"859",251,1
"860",265,1
"861",26,2
"862",295,2
"863",9,2
"864",106,3
"865",40,2
"866",294,2
"867",119,2
"868",204,2
"869",346,2
"870",274,2
"871",7,2
"872",243,2
"873",163,2
"874",174,2
"875",110,2
"876",291,2
"877",311,2
"878",35,1
"879",183,2
"880",303,2
"881",301,3
"882",122,2
"883",126,3
"884",8,3
"885",99,3
"886",22,3
"887",203,3
"888",33,3
"889",9,3
"890",175,3
"891",47,2
"892",66,3
"893",233,3
"894",247,3
"895",145,3
"896",99,3
"897",107,3
"898",125,4
"899",140,4
"900",242,3
"901",181,4
"902",28,4
"903",116,4
"904",315,4
"905",218,3
"906",174,4
"907",342,4
"908",108,4
"909",108,4
"910",292,1
"911",221,1
"912",324,1
"913",101,1
"914",277,1
"915",10,1
"916",228,1
"917",202,1
"918",307,1
"919",46,1
"920",195,1
"921",154,1
"922",246,1
"923",110,1
"924",328,1
"925",222,1
"926",257,1
"927",55,1
"928",77,1
"929",177,1
"930",110,1
"931",307,1
"932",292,1
"933",219,2
"934",111,2
"935",302,2
"936",353,2
"937",208,2
"938",282,2
"939",32,2
"940",84,2
"941",298,2
"942",289,2
"943",229,2
"944",134,2
"945",25,2
"946",106,2
"947",293,2
"948",1,2
"949",249,2
"950",182,2
"951",174,2
"952",78,3
"953",319,3
"954",178,3
"955",250,3
"956",56,3
"957",10,3
"958",94,3
"959",45,3
"960",38,3
"961",351,3
"962",342,3
"963",350,3
"964",54,3
"965",114,3
"966",270,3
"967",135,3
"968",155,3
"969",136,3
"970",312,4
"971",331,4
"972",87,4
"973",152,4
"974",321,4
"975",130,4
"976",202,2
"977",79,3
"978",360,4
"979",360,1
"980",3,1
"981",314,1
"982",17,1
"983",106,1
"984",111,1
"985",76,1
"986",106,1
"987",285,1
"988",269,1
"989",279,2
"990",359,1
"991",350,1
"992",261,1
"993",93,1
"994",142,1
"995",183,1
"996",359,1
"997",115,1
"998",107,1
"999",77,1
"1000",352,1
"1001",58,1
"1002",290,2
"1003",26,2
"1004",284,2
"1005",119,2
"1006",241,2
"1007",119,2
"1008",107,2
"1009",224,2
"1010",148,2
"1011",294,2
"1012",35,2
"1013",347,2
"1014",352,2
"1015",335,2
"1016",184,2
"1017",7,2
"1018",283,2
"1019",100,2
"1020",79,2
"1021",192,2
"1022",141,2
"1023",305,2
"1024",86,3
"1025",256,3
"1026",362,3
"1027",107,3
"1028",343,3
"1029",249,3
"1030",251,3
"1031",244,3
"1032",198,3
"1033",209,3
"1034",284,3
"1035",79,3
"1036",185,3
"1037",287,4
"1038",24,4
"1039",129,4
"1040",42,4
"1041",351,4
"1042",272,4
"1043",59,4
"1044",209,4
"1045",213,4
"1046",269,4
"1047",6,1
"1048",208,1
"1049",109,1
"1050",155,1
"1051",342,1
"1052",256,1
"1053",258,1
"1054",295,1
"1055",42,1
"1056",53,1
"1057",64,1
"1058",200,1
"1059",22,1
"1060",254,1
"1061",0,1
"1062",87,1
"1063",182,1
"1064",201,1
"1065",102,1
"1066",149,1
"1067",10,1
"1068",246,1
"1069",19,2
"1070",309,2
"1071",64,2
"1072",158,2
"1073",102,2
"1074",270,2
"1075",278,2
"1076",263,2
"1077",132,2
"1078",224,2
"1079",303,2
"1080",22,2
"1081",109,2
"1082",318,4
"1083",292,2
"1084",154,2
"1085",67,2
"1086",336,2
"1087",292,2
"1088",148,2
"1089",177,3
"1090",260,4
"1091",247,3
"1092",263,3
"1093",314,3
"1094",195,3
"1095",211,3
"1096",151,3
"1097",282,3
"1098",362,3
"1099",292,3
"1100",210,3
"1101",137,3
"1102",213,3
"1103",116,3
"1104",355,3
"1105",24,3
"1106",336,3
"1107",363,4
"1108",146,4
"1109",24,4
"1110",107,4
"1111",345,4
"1112",161,4
"1113",209,4
"1114",243,4
